Drug_A,Drug_B,Side_Effect,Severity_Score,Severity
omalizumab,azelastine,Increased tendency to bruise,10.0,Major
Bisoprolol,Methimazole,Anaemia,1.42857,Minor
aripiprazole,Meperidine,Anaemia,3.33333,Moderate
Tramadol,tizanidine,Anaemia,1.66667,Minor
Warfarin,carbazochrome,Anaemia,20.0,Major
Thioridazine,Trazodone,Anaemia,2.5,Moderate
anakinra,leflunomide,Jaundice,2.5,Moderate
Ibuprofen,sevelamer,Anaemia,4.28571,Moderate
prednisolone,aprepitant,Anaemia,2.85714,Moderate
Felodipine,Methyldopa,Dyspnoea,2.5,Moderate
Magnesium Chloride,Pentoxifylline,Hiatus hernia,10.0,Major
Danazol,Verapamil,Death,2.5,Moderate
pneumococcal capsular polysaccharide type 9V vaccine,Atenolol,Anaemia,5.0,Major
Vancomycin,dexchlorpheniramine,Anaemia,3.33333,Moderate
isoniazid,tiotropium,Anaemia,3.33333,Moderate
Dexamethasone,Pravastatin,Anaemia,5.0,Major
Losartan,Cefazolin,Anaemia,1.25,Minor
Diazepam,Cimetidine,Anaemia,10.0,Major
Warfarin,Vancomycin,Anaemia,6.44737,Major
Aspirin,azelastine,Iron deficiency anaemia,3.33333,Moderate
Tobramycin,Ceftazidime,Anaemia,1.53846,Minor
latanoprost,Naproxen,Anaemia,4.16667,Moderate
cefepime,olopatadine,Anaemia,3.33333,Moderate
Acetazolamide,Carbocysteine,Anaemia,5.0,Major
Indapamide,Calcium,Anaemia,6.66667,Major
Ifosfamide,celecoxib,Pancytopenia,30.0,Major
zolpidem,Epoprostenol,Anaemia,14.2857,Major
Daptomycin,Amikacin,Anaemia,3.33333,Moderate
Vecuronium,Isoflurane,Anaemia,1.42857,Minor
zolpidem,Treprostinil,Anaemia,4.0,Moderate
Bifidobacterium lactis,Acetaminophen,Anaemia,3.75,Moderate
Fentanyl,Cefuroxime,Anaemia,4.82759,Moderate
nabumetone,olopatadine,Dizziness,3.33333,Moderate
brotizolam,fluvastatin,Anaemia,5.0,Major
Diosmin,Metoclopramide,Anaemia,5.0,Major
Oxycodone,glimepiride,Iron deficiency anaemia,3.33333,Moderate
doxorubicin liposome,Sodium Chloride,Pancytopenia,40.0,Major
Sumatriptan,Doxepin,Anaemia,2.5,Moderate
tofacitinib,adalimumab,Anaemia,0.909091,Minor
ramelteon,adalimumab,Dyspnoea,1.42857,Minor
zolpidem,Sodium Oxybate,Anaemia,0.689655,Minor
Fenofibrate,Ciprofloxacin,Iron deficiency anaemia,10.0,Major
Cholecalciferol,Doxorubicin,Anaemia,3.33333,Moderate
Ibuprofen,nefazodone,Anaemia,5.0,Major
Albuterol,Lithium Carbonate,Anaemia,0.740741,Minor
lapatinib,docetaxel,Anaemia,3.42857,Moderate
Activated Charcoal,Hydrocodone,Nausea,1.25,Minor
sildenafil,Mirtazapine,Anaemia,6.25,Major
remifentanil,Clarithromycin,Tachycardia,30.0,Major
Sufentanil,Clonidine,Disseminated intravascular coagulation,3.33333,Moderate
crizotinib,mecobalamin,Abdominal pain,10.0,Major
ropinirole,levothyroxine,Iron deficiency anaemia,1.66667,Minor
Cyclophosphamide,Vincristine,Iron deficiency anaemia,0.4,Minor
Warfarin,ponatinib,Anaemia,3.33333,Moderate
Clonazepam,zafirlukast,Supraventricular tachycardia,10.0,Major
pertuzumab,Alprazolam,Anaemia,3.33333,Moderate
dronedarone,Digoxin,Anaemia,1.08108,Minor
Glycopyrrolate,adalimumab,Anaemia,5.0,Major
Vitamin D,Chloramphenicol,Anaemia,5.0,Major
Acarbose,levothyroxine,Anaemia,1.42857,Minor
pregabalin,Allopurinol,Iron deficiency anaemia,1.66667,Minor
gemcitabine,metopimazine,Anaemia,5.0,Major
Omega-3 Acid Ethyl Esters (USP),vitamin D3,Anaemia,1.66667,Minor
candesartan,desloratadine,Anaemia,2.85714,Moderate
Scopolamine,formoterol,Anaemia,3.33333,Moderate
ezetimibe,Buspirone,Anaemia,1.66667,Minor
Sertraline,Escitalopram,Iron deficiency anaemia,1.66667,Minor
rituximab,Potassium Chloride,Anaemia,4.69388,Moderate
crizotinib,Escitalopram,Dyspnoea,1.42857,Minor
Escitalopram,sevoflurane,Tachycardia,3.33333,Moderate
Ramipril,Hydroxychloroquine,Anaemia,1.75,Minor
Oxycodone,Dobutamine,Anaemia,20.0,Major
Gemfibrozil,Verapamil,Anaemia,2.77778,Moderate
Nitrofurantoin,"Sodium Phosphate, Monobasic",Jaundice,20.0,Major
Ketoprofen,letrozole,Palpitations,10.0,Major
Hydrochlorothiazide,tamsulosin,Iron deficiency anaemia,1.11111,Minor
lenalidomide,bortezomib,Iron deficiency anaemia,0.714286,Minor
Hyoscyamine,Digoxin,Anaemia,14.0,Major
everolimus,Digitoxin,Anaemia,6.66667,Major
Vitamin A,Doxepin,Anaemia,2.5,Moderate
Estradiol,Acyclovir,Anaemia,1.33333,Minor
Ipratropium,Erythromycin,Anaemia,6.25,Major
Simvastatin,rifaximin,Dizziness,1.25,Minor
Warfarin,Gadopentetate Dimeglumine,Anaemia,0.454545,Minor
Lisdexamfetamine,meloxicam,Cardio-respiratory arrest,25.0,Major
Tramadol,Oxytetracycline,Dyspnoea,1.42857,Minor
dalfampridine,Calcium,Anaemia,0.9375,Minor
Lovastatin,letrozole,Anaemia,5.0,Major
irinotecan,Nifedipine,Anaemia,7.5,Major
rilmenidine,lansoprazole,Anaemia,5.0,Major
duloxetine,Levofloxacin,Anaemia,6.28571,Major
Diazepam,armodafinil,Anaemia,1.42857,Minor
Furosemide,mebeverine,Anaemia,3.33333,Moderate
Furosemide,Ursodeoxycholate,Iron deficiency anaemia,2.5,Moderate
benzonatate,Ethanol,Death,1.66667,Minor
Timolol,Simvastatin,Anaemia,1.76471,Minor
metaproterenol,adalimumab,Anaemia,1.42857,Minor
Pseudoephedrine,loxoprofen,Anaemia,3.33333,Moderate
Levetiracetam,Ceftriaxone,Anaemia,1.36364,Minor
Bisoprolol,pregabalin,Iron deficiency anaemia,1.66667,Minor
Ambroxol,Prednisone,Leukopenia,10.0,Major
quetiapine,Ritonavir,Anaemia,1.81818,Minor
Tramadol,Cholecalciferol,Iron deficiency anaemia,5.0,Major
certolizumab pegol,Cholestyramine Resin,Anaemia,15.0,Major
zoledronic acid,brinzolamide,Anaemia,5.0,Major
Oxazepam,Trihexyphenidyl,Anaemia,2.85714,Moderate
posaconazole,Amiodarone,Thrombocytopenia,20.0,Major
Buprenorphine,Trimeprazine,Anaemia,1.73913,Minor
Hydrochlorothiazide,omalizumab,Anaemia,2.22222,Moderate
Naproxen,Acyclovir,Anaemia,3.47826,Moderate
certolizumab pegol,Azathioprine,Anaemia,1.81818,Minor
Roflumilast,Oxygen,Coagulopathy,10.0,Major
Vitamin A,denosumab,Anaemia,2.5,Moderate
Gliclazide,carvedilol,Anaemia,3.84615,Moderate
Caffeine,nabumetone,Oedema peripheral,5.0,Major
Hydrocortisone,meloxicam,Anaemia,7.77778,Major
ofatumumab,Loperamide,Neutropenia,5.0,Major
capecitabine,Solifenacin,Dyspnoea,2.0,Moderate
Hydroxocobalamin,Ramipril,Anaemia,1.53846,Minor
Amlodipine,Perphenazine,Anaemia,1.66667,Minor
fluocinolone,Docusate,Anaemia,6.66667,Major
Atosiban,Ketamine,Nausea,0.909091,Minor
Pseudoephedrine,Lysine,Chest pain,2.5,Moderate
Vigabatrin,Propofol,Death,1.66667,Minor
heparin,Ketamine,Anaemia,3.33333,Moderate
Clonidine,Lithium,Anaemia,1.42857,Minor
Tramadol,Erythromycin,Iron deficiency anaemia,3.33333,Moderate
lurasidone,Trazodone,Leukopenia,2.0,Moderate
ferrous sulfate,Amitriptyline,Anaemia,7.94872,Major
"insulin human, rDNA origin",exenatide,Atrial fibrillation,5.0,Major
cefepime,Aprotinin,Fluid overload,10.0,Major
Citalopram,Cytarabine,Anaemia,6.66667,Major
metaproterenol,Etoposide,Anaemia,3.33333,Moderate
fexofenadine,Pheniramine,Dizziness,1.66667,Minor
Phenobarbital,remifentanil,Drug rash with eosinophilia and systemic symptoms,50.0,Major
Cisapride,Diltiazem,Anaemia,10.0,Major
ropivacaine,Atropine,Anaemia,1.25,Minor
Oxazepam,Methotrexate,Anaemia,1.11111,Minor
zolpidem,tibolone,Bradycardia,20.0,Major
pioglitazone,Imipramine,Anaemia,10.0,Major
Prednisone,Cod Liver Oil,Anaemia,3.33333,Moderate
quetiapine,Doxazosin,Anaemia,0.833333,Minor
anastrozole,Epoetin Alfa,Anaemia,18.75,Major
ramelteon,latanoprost,Cardiac disorder,20.0,Major
Loperamide,gefitinib,Anaemia,7.5,Major
Alendronate,Cefuroxime,Anaemia,10.0,Major
Fosinopril,Pravastatin,Anaemia,4.54545,Moderate
Metformin,rizatriptan,Anaemia,1.0,Minor
Ifosfamide,Amitriptyline,Anaemia,3.33333,Moderate
Bifidobacterium lactis,Famotidine,Anaemia,3.57143,Moderate
Carisoprodol,tolterodine,Anaemia,20.0,Major
Omega-3 Acid Ethyl Esters (USP),ambrisentan,Anaemia,15.0,Major
latanoprost,Solifenacin,Anaemia,5.0,Major
pipamperone,levothyroxine,Anaemia,1.42857,Minor
Lactobacillus acidophilus,Doxorubicin,Anaemia,15.0,Major
telaprevir,Raloxifene,Anaemia,15.0,Major
atorvastatin,Methocarbamol,Anaemia,3.57143,Moderate
Levodopa,fluindione,Anaemia,3.33333,Moderate
Acetaminophen,varenicline,Anaemia,0.946746,Minor
Streptokinase,clopidogrel,Dizziness,2.5,Moderate
Medroxyprogesterone,Temazepam,Anaemia,10.0,Major
Lidocaine,cevimeline,Anaemia,3.33333,Moderate
ropivacaine,Midazolam,Anaemia,1.0,Minor
nimesulide,Alprazolam,Leukopenia,5.0,Major
Buspirone,Allopurinol,Anaemia,8.0,Major
glimepiride,Omeprazole,Iron deficiency anaemia,15.0,Major
Nizatidine,Alendronate,Anaemia,25.0,Major
Ramipril,Interferon beta-1a,Anaemia,0.833333,Minor
Aspirin,voriconazole,Anaemia,4.66667,Moderate
calcipotriene,Lisinopril,Anaemia,1.42857,Minor
Hydrocortisone,Azathioprine,Anaemia,1.62791,Minor
Atracurium,Roxithromycin,Nausea,1.25,Minor
celecoxib,Ursodeoxycholate,Anaemia,2.5,Moderate
quetiapine,mosapride,Anaemia,4.0,Moderate
Folic Acid,Dexamethasone,Iron deficiency anaemia,1.33333,Minor
Ticagrelor,terbinafine,Anaemia,5.0,Major
Didanosine,Fentanyl,Cardiac disorder,20.0,Major
tazobactam,Alprazolam,Anaemia,3.33333,Moderate
Oxycodone,MYCOPHENOLATE,Dizziness,3.33333,Moderate
mirabegron,zopiclone,Nausea,1.66667,Minor
Nitrous Oxide,Paroxetine,Diarrhoea,1.42857,Minor
donepezil,Diphenoxylate,Anaemia,10.0,Major
Buprenorphine,cefdinir,Anaemia,10.0,Major
Iloprost,tiotropium,Anaemia,1.11111,Minor
Dexamethasone,adalimumab,Anaemia,0.909091,Minor
Doxycycline,peginterferon alfa-2a,Anaemia,20.0,Major
Trimeprazine,Paroxetine,Anaemia,4.0,Moderate
Tacrolimus,Simethicone,Anaemia,5.0,Major
Bupropion,modafinil,Iron deficiency anaemia,1.66667,Minor
Vitamin D,Arginine,Anaemia,5.0,Major
Nafarelin,follitropin beta,Syncope,1.66667,Minor
formoterol,dexchlorpheniramine,Lymphadenopathy,10.0,Major
Amiloride,Metoprolol,Anaemia,2.8,Moderate
Loxapine,Perindopril,Anaemia,5.0,Major
Deferoxamine,carvedilol,Anaemia,3.33333,Moderate
WHEAT DEXTRIN,Interferon beta-1a,Chest pain,3.33333,Moderate
ropinirole,Midodrine,Dizziness,1.11111,Minor
formoterol,paliperidone,Dyspnoea,2.22222,Moderate
pregabalin,Methylphenidate,Anaemia,1.66667,Minor
Hyoscyamine,Cholecalciferol,Supraventricular tachycardia,10.0,Major
drospirenone,Prochlorperazine,Dyspnoea,0.5,Minor
meropenem,Nicotine,Anaemia,3.33333,Moderate
Chlordiazepoxide,Cimetidine,Anaemia,6.66667,Major
silver sulfadiazine,Mirtazapine,Anaemia,5.0,Major
Linseed Oil,Fluconazole,Anaemia,3.33333,Moderate
aliskiren,lenalidomide,Anaemia,6.66667,Major
duloxetine,sildenafil,Iron deficiency anaemia,3.33333,Moderate
Glyburide,Midazolam,Anaemia,2.5,Moderate
fluticasone,Linagliptin,Anaemia,1.11111,Minor
Folic Acid,nabumetone,Anaemia,1.42857,Minor
fluticasone,Ferrous fumarate,Anaemia,1.33333,Minor
Sodium Bicarbonate,Ganciclovir,Anaemia,10.0,Major
Methadone,Trazodone,Anaemia,1.91176,Minor
Metoclopramide,Afatinib,Anaemia,3.33333,Moderate
Ipratropium,Midazolam,Anaemia,8.57143,Major
Ramipril,ioversol,Dyspnoea,1.25,Minor
desloratadine,Interferon beta-1a,Dizziness,1.42857,Minor
Linseed Oil,Alprazolam,Anaemia,1.25,Minor
entacapone,zopiclone,Anaemia,10.0,Major
Ibandronate,tiotropium,Anaemia,1.57895,Minor
Levetiracetam,Linseed Oil,Anaemia,3.33333,Moderate
Trimethoprim,Fusidate,Anaemia,10.0,Major
Magnesium Oxide,Theophylline,Anaemia,1.57895,Minor
Sertraline,sevelamer,Anaemia,6.66667,Major
Lisinopril,vilazodone,Lymphadenopathy,2.0,Moderate
Ethinyl Estradiol,varenicline,Anaemia,0.357143,Minor
Clonazepam,cefprozil,Anaemia,10.0,Major
abacavir,Bisoprolol,Anaemia,16.6667,Major
Treprostinil,Hydroxyzine,Anaemia,3.33333,Moderate
Famotidine,mirabegron,Dyspnoea,1.66667,Minor
prednisolone,Cefotaxime,Anaemia,4.44444,Moderate
Benzoyl Peroxide,adapalene,Dizziness,0.333333,Minor
Calcium Citrate,levothyroxine,Anaemia,2.32877,Moderate
Enalapril,Omeprazole,Deficiency anaemia,10.0,Major
Omega-3 Fatty Acids,rabeprazole,Anaemia,2.0,Moderate
tinzaparin,Paroxetine,Anaemia,25.0,Major
Simvastatin,urapidil,Anaemia,1.66667,Minor
Metformin,silodosin,Anaemia,6.0,Major
Amitriptyline,leflunomide,Anaemia,1.73913,Minor
Lactobacillus casei rhamnosus,zolpidem,Anaemia,15.0,Major
Sulbactam,standardized senna concentrate,Anaemia,3.33333,Moderate
Diazepam,Vitamin D,Iron deficiency anaemia,1.42857,Minor
nabilone,Amitriptyline,Dizziness,1.42857,Minor
Vitamin A,abatacept,Anaemia,2.85714,Moderate
"Estrogens, Conjugated (USP)",Theophylline,Lymphadenopathy,2.0,Moderate
Clonidine,Calcium Gluconate,Anaemia,3.33333,Moderate
Ergocalciferol,montelukast,Anaemia,1.25,Minor
mecobalamin,Omeprazole,Anaemia,7.0,Major
Nicotine,Bromazepam,Dizziness,1.42857,Minor
Raloxifene,Etodolac,Anaemia,2.5,Moderate
Fentanyl,Interferon beta-1a,Anaemia,0.555556,Minor
Ranitidine,Nicotine,Anaemia,1.66667,Minor
Succinylcholine,Thiopental,Anaemia,1.0,Minor
Dexamethasone,Ketorolac,Anaemia,9.6,Major
Paroxetine,Epoetin Alfa,Anaemia,13.3333,Major
Buprenorphine,Imipramine,Anaemia,1.42857,Minor
Loperamide,Ketoprofen,Anaemia,30.0,Major
Morphine,Isradipine,Anaemia,3.33333,Moderate
latanoprost,ranibizumab,Anaemia,1.0,Minor
alteplase,Ticlopidine,Myocardial infarction,5.0,Major
Triamcinolone,mycophenolate mofetil,Anaemia,8.0,Major
pregabalin,rituximab,Anaemia,3.33333,Moderate
Furosemide,Misoprostol,Iron deficiency anaemia,3.33333,Moderate
Gliclazide,bortezomib,Anaemia,3.33333,Moderate
Doxorubicin,Dactinomycin,Anaemia,2.5,Moderate
Alfacalcidol,Domperidone,Anaemia,2.72727,Moderate
Lactulose,tizanidine,Anaemia,22.5,Major
Mometasone,Carbamazepine,Anaemia,1.66667,Minor
irbesartan,Lithium,Anaemia,5.0,Major
Phenylephrine,vitamin D3,Dizziness,5.0,Major
Lactate,Clonidine,Anaemia,1.42857,Minor
Buprenorphine,Buspirone,Anaemia,1.66667,Minor
Eszopiclone,Valproate,Anaemia,0.714286,Minor
Ascorbic Acid,Megestrol,Anaemia,10.0,Major
Piperacillin,"Regular Insulin, Human",Anaemia,3.33333,Moderate
Bendroflumethiazide,Vitamin D,Anaemia,0.5,Minor
Vitamin B 12,gemcitabine,Anaemia,25.0,Major
Hydrocortisone,levothyroxine,Blood creatine phosphokinase increased,1.68675,Minor
Propafenone,Amiodarone,Anaemia,1.66667,Minor
Omeprazole,Foscarnet,Anaemia,4.0,Moderate
moxifloxacin,famciclovir,Anaemia,3.33333,Moderate
gabapentin,sunitinib,Anaemia,2.06897,Moderate
Pseudoephedrine,Ibuprofen,Anaemia,2.2093,Moderate
Paroxetine,clopidogrel,Iron deficiency anaemia,1.66667,Minor
Escitalopram,dronedarone,Anaemia,3.33333,Moderate
Amitriptyline,Treprostinil,Anaemia,10.0,Major
Hyoscyamine,thyroid (USP),Atrial fibrillation,3.33333,Moderate
letrozole,Atenolol,Anaemia,1.66667,Minor
Oxazepam,Iron,Anaemia,30.0,Major
Magnesium Aspartate,Escitalopram,Dyspnoea,2.5,Moderate
aflibercept,Fluconazole,Anaemia,6.66667,Major
Metronidazole,Mitomycin,Anaemia,6.66667,Major
Vitamin B Complex,eculizumab,Anaemia,3.33333,Moderate
Doxazosin,fludarabine,Anaemia,10.0,Major
pregabalin,dimethyl fumarate,Anaemia,1.07143,Minor
Itraconazole,valganciclovir,Anaemia,3.33333,Moderate
benzonatate,Magnesium Oxide,Anaemia,7.5,Major
Diphenhydramine,Fentanyl,Iron deficiency anaemia,1.25,Minor
Sorbitol,sevelamer,Anaemia,5.0,Major
Captopril,Naproxen,Anaemia,1.25,Minor
atorvastatin,Prednisone,Anaemia vitamin B12 deficiency,10.0,Major
pregabalin,"Insulin, Aspart, Human",Iron deficiency anaemia,1.66667,Minor
Timolol,Cyclosporine,Anaemia,1.0,Minor
Doxazosin,Dothiepin,Jaundice,60.0,Major
Aluminum Hydroxide,bortezomib,Dyspnoea,1.25,Minor
rabeprazole,mesalamine,Anaemia,1.48148,Minor
Etanercept,Itraconazole,Dyspnoea,1.66667,Minor
Hydrochlorothiazide,pemetrexed,Anaemia,10.0,Major
Levetiracetam,fosphenytoin,Anaemia,0.769231,Minor
Lactobacillus casei rhamnosus,Carbamazepine,Anaemia,5.0,Major
Hyoscyamine,benzonatate,Atrial fibrillation,3.33333,Moderate
candesartan,vardenafil,Anaemia,5.0,Major
Ribavirin,zolpidem,Iron deficiency anaemia,0.833333,Minor
insulin detemir,Perindopril,Anaemia,1.66667,Minor
Metoclopramide,Azathioprine,Anaemia,4.0,Moderate
Terazosin,Loratadine,Anaemia,2.14286,Moderate
gabapentin,Amoxapine,Anaemia,5.0,Major
agalsidase beta,valganciclovir,Nausea,1.42857,Minor
Eszopiclone,fluvastatin,Dizziness,2.5,Moderate
prednisolone,Mometasone,Anaemia,1.42857,Minor
Lactulose,Diphenoxylate,Anaemia,20.0,Major
candesartan,ranibizumab,Pancytopenia,3.33333,Moderate
enzalutamide,clopidogrel,Anaemia,1.25,Minor
quinapril,nebivolol,Anaemia,3.33333,Moderate
candesartan,carbazochrome,Anaemia,2.5,Moderate
Cyclosporine,imatinib,Anaemia,1.76471,Minor
olanzapine,fexofenadine,Anaemia,3.75,Moderate
duloxetine,Desvenlafaxine,Anaemia,1.2,Minor
Dimenhydrinate,Magnesium Oxide,Anaemia,10.0,Major
Doxazosin,Azathioprine,Anaemia,5.71429,Major
formoterol,Tolperisone,Pneumonia,3.33333,Moderate
Clonidine,Oxygen,Anaemia,10.0,Major
formoterol,Oseltamivir,Cardiac disorder,3.33333,Moderate
Hydrocortisone,Clarithromycin,Anaemia,4.34783,Moderate
Ethanol,Trazodone,Anaemia,0.322581,Minor
Granisetron,darbepoetin alfa,Anaemia,10.9091,Major
aripiprazole,Pravastatin,Anaemia,0.769231,Minor
Diclofenac,Folic Acid,Iron deficiency anaemia,0.588235,Minor
Hydroxyzine,atomoxetine,Anaemia,1.66667,Minor
quetiapine,pioglitazone,Anaemia,1.66667,Minor
Vitamin A,Epoprostenol,Anaemia,3.33333,Moderate
Metoprolol,Isoflurane,Anaemia,5.0,Major
aliskiren,irbesartan,Anaemia,3.15789,Moderate
Doxycycline,Amikacin,Pancytopenia,10.0,Major
carbazochrome,propiverine,Atrial fibrillation,5.0,Major
Opium,Furosemide,Anaemia,10.0,Major
Colchicine,Treprostinil,Syncope,1.66667,Minor
Gentamicin,Iron,Anaemia,5.0,Major
Azathioprine,micafungin,Jaundice,10.0,Major
certolizumab pegol,Sucralfate,Lymphadenopathy,10.0,Major
Fluoxetine,phenol,Death,1.66667,Minor
tolterodine,exenatide,Anaemia,1.25,Minor
Nitroglycerin,Roxithromycin,Anaemia,3.33333,Moderate
anastrozole,adalimumab,Anaemia,1.31579,Minor
dexpanthenol,Dexamethasone,Anaemia,1.66667,Minor
Fluphenazine,Prednisone,Neutropenia,10.0,Major
Nizatidine,Haloperidol,Anaemia,10.0,Major
POLYETHYLENE GLYCOL 3350,Bromazepam,Anaemia,2.85714,Moderate
dorzolamide,coenzyme Q10,Dyspnoea,1.66667,Minor
Folic Acid,pirbuterol,Anaemia,6.66667,Major
Hydrocodone,abatacept,Anaemia,1.42857,Minor
Enalapril,tofacitinib,Dyspnoea,1.11111,Minor
Eszopiclone,Escitalopram,Anaemia,0.983607,Minor
Albuterol,zonisamide,Anaemia,1.11111,Minor
Quinine,Pravastatin,Anaemia,2.0,Moderate
Famotidine,"Sodium Phosphate, Dibasic",Anaemia,6.66667,Major
nefazodone,Metoclopramide,Anaemia,10.0,Major
"insulin, isophane",cefepime,Anaemia,6.66667,Major
vitamin D3,montelukast,Anaemia,1.42857,Minor
Potassium,ambrisentan,Anaemia,1.73913,Minor
Esomeprazole,clofarabine,Anaemia,2.5,Moderate
Solifenacin,fluvastatin,Vision blurred,3.33333,Moderate
Lamivudine,Vincristine,Anaemia,4.21053,Moderate
brotizolam,mesalamine,Dyspnoea,1.66667,Minor
Caffeine,Methotrexate,Anaemia,1.25,Minor
Acitretin,Triamcinolone,Bradycardia,3.33333,Moderate
olanzapine,Methotrimeprazine,Anaemia,2.85714,Moderate
Diphenhydramine,Tetracycline,Anaemia,3.33333,Moderate
