drug_1_rxnorn_id,drug_1_concept_name,drug_2_rxnorm_id,drug_2_concept_name,condition_meddra_id,condition_concept_name,A,B,C,D,PRR,PRR_error,mean_reporting_frequency
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10052428,Wound,1,108,1,1089,10.0,1.41064,0.00917431
10324,Tamoxifen,8640,Prednisone,10016256,Fatigue,18,123,45,1365,4.0,0.26453,0.12766
10355,Temazepam,136411,sildenafil,10016256,Fatigue,19,137,54,1506,3.51852,0.253177,0.121795
1808,Bumetanide,7824,Oxytocin,10016256,Fatigue,3,11,3,137,10.0,0.766874,0.214286
161,Acetaminophen,1546438,glycopyrronium,10016256,Fatigue,3,20,6,224,5.0,0.672439,0.130435
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10016256,Fatigue,7,102,34,1056,2.05882,0.402712,0.0642202
10324,Tamoxifen,8640,Prednisone,10017885,Gastrooesophageal reflux disease,13,128,5,1405,26.0,0.518769,0.0921986
10355,Temazepam,136411,sildenafil,10017885,Gastrooesophageal reflux disease,6,150,7,1553,8.57143,0.549975,0.0384615
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10017885,Gastrooesophageal reflux disease,1,108,3,1087,3.33333,1.15032,0.00917431
10355,Temazepam,136411,sildenafil,10040753,Sinusitis,2,154,11,1549,1.81818,0.764106,0.0128205
1808,Bumetanide,7824,Oxytocin,10046571,Urinary tract infection,1,13,3,137,3.33333,1.12016,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10046571,Urinary tract infection,4,105,9,1081,4.44444,0.592469,0.0366972
10355,Temazepam,136411,sildenafil,10016173,Fall,10,146,27,1533,3.7037,0.360535,0.0641026
161,Acetaminophen,1546438,glycopyrronium,10016173,Fall,1,22,2,228,5.0,1.20506,0.0434783
7781,Oxazepam,9863,Sodium Chloride,10016173,Fall,1,34,10,340,1.0,1.03372,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10016173,Fall,4,105,22,1068,1.81818,0.534194,0.0366972
10324,Tamoxifen,8640,Prednisone,10058117,Ocular icterus,1,140,1,1409,10.0,1.41145,0.0070922
10355,Temazepam,136411,sildenafil,10006002,Bone pain,1,155,4,1556,2.5,1.11488,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10006002,Bone pain,1,108,2,1088,5.0,1.22062,0.00917431
10324,Tamoxifen,8640,Prednisone,10028813,Nausea,14,127,58,1352,2.41379,0.284374,0.0992908
10355,Temazepam,136411,sildenafil,10028813,Nausea,11,145,67,1493,1.64179,0.314298,0.0705128
1808,Bumetanide,7824,Oxytocin,10028813,Nausea,2,12,7,133,2.85714,0.75119,0.142857
161,Acetaminophen,1546438,glycopyrronium,10028813,Nausea,3,20,6,224,5.0,0.672439,0.130435
7781,Oxazepam,9863,Sodium Chloride,10028813,Nausea,1,34,18,332,0.555556,1.01199,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10028813,Nausea,11,98,36,1054,3.05556,0.329538,0.100917
10355,Temazepam,136411,sildenafil,10033775,Paraesthesia,5,151,11,1549,4.54545,0.532783,0.0320513
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10033775,Paraesthesia,1,108,8,1082,1.25,1.05589,0.00917431
10324,Tamoxifen,8640,Prednisone,10049438,General physical health deterioration,5,136,9,1401,5.55556,0.550736,0.035461
10355,Temazepam,136411,sildenafil,10049438,General physical health deterioration,3,153,9,1551,3.33333,0.661357,0.0192308
161,Acetaminophen,1546438,glycopyrronium,10049438,General physical health deterioration,3,20,2,228,15.0,0.886288,0.130435
7781,Oxazepam,9863,Sodium Chloride,10049438,General physical health deterioration,2,33,3,347,6.66667,0.895491,0.0571429
10324,Tamoxifen,8640,Prednisone,10000081,Abdominal pain,8,133,16,1394,5.0,0.423909,0.0567376
10355,Temazepam,136411,sildenafil,10000081,Abdominal pain,5,151,12,1548,4.16667,0.525625,0.0320513
161,Acetaminophen,1546438,glycopyrronium,10000081,Abdominal pain,3,20,1,229,30.0,1.1338,0.130435
7781,Oxazepam,9863,Sodium Chloride,10000081,Abdominal pain,1,34,5,345,2.0,1.081,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10000081,Abdominal pain,3,106,12,1078,2.5,0.637632,0.0275229
10355,Temazepam,136411,sildenafil,10002855,Anxiety,15,141,34,1526,4.41176,0.298374,0.0961538
1808,Bumetanide,7824,Oxytocin,10002855,Anxiety,1,13,5,135,2.0,1.05898,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10002855,Anxiety,3,106,23,1067,1.30435,0.605574,0.0275229
10355,Temazepam,136411,sildenafil,10049119,Emotional distress,4,152,8,1552,5.0,0.606588,0.025641
161,Acetaminophen,1546438,glycopyrronium,10049119,Emotional distress,1,22,2,228,5.0,1.20506,0.0434783
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10049119,Emotional distress,2,107,5,1085,4.0,0.830607,0.0183486
10355,Temazepam,136411,sildenafil,10022116,Injury,12,144,13,1547,9.23077,0.391414,0.0769231
1808,Bumetanide,7824,Oxytocin,10022116,Injury,1,13,1,139,10.0,1.38616,0.0714286
161,Acetaminophen,1546438,glycopyrronium,10022116,Injury,1,22,3,227,3.33333,1.1338,0.0434783
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10022116,Injury,2,107,14,1076,1.42857,0.749224,0.0183486
10355,Temazepam,136411,sildenafil,10027175,Memory impairment,2,154,13,1547,1.53846,0.754899,0.0128205
161,Acetaminophen,1546438,glycopyrronium,10027175,Memory impairment,3,20,3,227,10.0,0.786664,0.130435
10355,Temazepam,136411,sildenafil,10037844,Rash,4,152,29,1531,1.37931,0.526718,0.025641
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10037844,Rash,5,104,18,1072,2.77778,0.495443,0.0458716
10355,Temazepam,136411,sildenafil,10001551,Alanine aminotransferase increased,3,153,4,1556,7.5,0.759132,0.0192308
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10001551,Alanine aminotransferase increased,1,108,3,1087,3.33333,1.15032,0.00917431
10355,Temazepam,136411,sildenafil,10013687,Drug eruption,1,155,1,1559,10.0,1.41172,0.00641026
161,Acetaminophen,1546438,glycopyrronium,10013687,Drug eruption,1,22,1,229,10.0,1.3972,0.0434783
10324,Tamoxifen,8640,Prednisone,10008479,Chest pain,7,134,29,1381,2.41379,0.411751,0.0496454
10355,Temazepam,136411,sildenafil,10008479,Chest pain,7,149,21,1539,3.33333,0.428281,0.0448718
1808,Bumetanide,7824,Oxytocin,10008479,Chest pain,1,13,5,135,2.0,1.05898,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10008479,Chest pain,7,102,19,1071,3.68421,0.430577,0.0642202
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10050584,Contusion,2,107,1,1089,20.0,1.22062,0.0183486
10324,Tamoxifen,8640,Prednisone,10013968,Dyspnoea,18,123,37,1373,4.86486,0.273461,0.12766
10355,Temazepam,136411,sildenafil,10013968,Dyspnoea,20,136,46,1514,4.34783,0.254338,0.128205
1808,Bumetanide,7824,Oxytocin,10013968,Dyspnoea,2,12,8,132,2.5,0.739208,0.142857
161,Acetaminophen,1546438,glycopyrronium,10013968,Dyspnoea,3,20,8,222,3.75,0.640708,0.130435
7781,Oxazepam,9863,Sodium Chloride,10013968,Dyspnoea,2,33,15,335,1.33333,0.7316,0.0571429
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10013968,Dyspnoea,3,106,39,1051,0.769231,0.590663,0.0275229
10355,Temazepam,136411,sildenafil,10042209,Stress,1,155,8,1552,1.25,1.05733,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10042209,Stress,2,107,5,1085,4.0,0.830607,0.0183486
10324,Tamoxifen,8640,Prednisone,10003549,Asthenia,15,126,28,1382,5.35714,0.307538,0.106383
10355,Temazepam,136411,sildenafil,10003549,Asthenia,11,145,27,1533,4.07407,0.347699,0.0705128
161,Acetaminophen,1546438,glycopyrronium,10003549,Asthenia,2,21,2,228,10.0,0.975794,0.0869565
7781,Oxazepam,9863,Sodium Chloride,10003549,Asthenia,1,34,3,347,3.33333,1.14101,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10003549,Asthenia,7,102,17,1073,4.11765,0.437709,0.0642202
10355,Temazepam,136411,sildenafil,10012378,Depression,12,144,30,1530,4.0,0.331082,0.0769231
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10012378,Depression,2,107,13,1077,1.53846,0.752882,0.0183486
10324,Tamoxifen,8640,Prednisone,10013911,Dysgeusia,4,137,3,1407,13.3333,0.758638,0.0283688
10355,Temazepam,136411,sildenafil,10013911,Dysgeusia,2,154,7,1553,2.85714,0.797374,0.0128205
1808,Bumetanide,7824,Oxytocin,10013911,Dysgeusia,1,13,1,139,10.0,1.38616,0.0714286
10355,Temazepam,136411,sildenafil,10047895,Weight decreased,10,146,13,1547,7.69231,0.412155,0.0641026
1808,Bumetanide,7824,Oxytocin,10047895,Weight decreased,1,13,2,138,5.0,1.19224,0.0714286
161,Acetaminophen,1546438,glycopyrronium,10047895,Weight decreased,3,20,3,227,10.0,0.786664,0.130435
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10047895,Weight decreased,3,106,15,1075,2.0,0.624426,0.0275229
10355,Temazepam,136411,sildenafil,10037087,Pruritus,3,153,31,1529,0.967742,0.598782,0.0192308
7781,Oxazepam,9863,Sodium Chloride,10037087,Pruritus,1,34,4,346,2.5,1.10389,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10037087,Pruritus,4,105,21,1069,1.90476,0.536216,0.0366972
10324,Tamoxifen,8640,Prednisone,10016322,Feeling abnormal,3,138,22,1388,1.36364,0.609087,0.0212766
10355,Temazepam,136411,sildenafil,10016322,Feeling abnormal,2,154,18,1542,1.11111,0.740611,0.0128205
7781,Oxazepam,9863,Sodium Chloride,10016322,Feeling abnormal,1,34,3,347,3.33333,1.14101,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10016322,Feeling abnormal,1,108,20,1070,0.5,1.01976,0.00917431
10355,Temazepam,136411,sildenafil,10028334,Muscle spasms,2,154,15,1545,1.33333,0.748074,0.0128205
1808,Bumetanide,7824,Oxytocin,10028334,Muscle spasms,1,13,3,137,3.33333,1.12016,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10028334,Muscle spasms,2,107,6,1084,3.33333,0.810293,0.0183486
10355,Temazepam,136411,sildenafil,10029412,Nightmare,1,155,5,1555,2.0,1.09222,0.00641026
10355,Temazepam,136411,sildenafil,10010904,Convulsion,1,155,23,1537,0.434783,1.01805,0.00641026
10355,Temazepam,136411,sildenafil,10020642,Hyperhidrosis,3,153,10,1550,3.0,0.652903,0.0192308
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10020642,Hyperhidrosis,3,106,8,1082,3.75,0.669508,0.0275229
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10013496,Disturbance in attention,1,108,3,1087,3.33333,1.15032,0.00917431
10355,Temazepam,136411,sildenafil,10046555,Urinary retention,3,153,2,1558,15.0,0.909001,0.0192308
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10046555,Urinary retention,1,108,3,1087,3.33333,1.15032,0.00917431
10324,Tamoxifen,8640,Prednisone,10013573,Dizziness,9,132,36,1374,2.5,0.36206,0.0638298
10355,Temazepam,136411,sildenafil,10013573,Dizziness,18,138,49,1511,3.67347,0.262512,0.115385
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10013573,Dizziness,7,102,26,1064,2.69231,0.413796,0.0642202
10355,Temazepam,136411,sildenafil,10018884,Haemoglobin decreased,6,150,11,1549,5.45455,0.500524,0.0384615
1808,Bumetanide,7824,Oxytocin,10018884,Haemoglobin decreased,1,13,2,138,5.0,1.19224,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10018884,Haemoglobin decreased,3,106,9,1081,3.33333,0.659054,0.0275229
10355,Temazepam,136411,sildenafil,10047942,White blood cell count decreased,1,155,12,1548,0.833333,1.03744,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10047942,White blood cell count decreased,2,107,6,1084,3.33333,0.810293,0.0183486
10355,Temazepam,136411,sildenafil,10006784,Burning sensation,2,154,9,1551,2.22222,0.777213,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10006784,Burning sensation,1,108,6,1084,1.66667,1.07544,0.00917431
10324,Tamoxifen,8640,Prednisone,10016825,Flushing,2,139,20,1390,1.0,0.736341,0.0141844
10355,Temazepam,136411,sildenafil,10016825,Flushing,7,149,15,1545,4.66667,0.449969,0.0448718
10355,Temazepam,136411,sildenafil,10061114,Economic problem,5,151,1,1559,50.0,1.09222,0.0320513
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10061114,Economic problem,2,107,2,1088,10.0,0.994941,0.0183486
10355,Temazepam,136411,sildenafil,10002511,Anhedonia,4,152,5,1555,8.0,0.665544,0.025641
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10002511,Anhedonia,1,108,5,1085,2.0,1.09083,0.00917431
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10061619,Deformity,1,108,1,1089,10.0,1.41064,0.00917431
10324,Tamoxifen,8640,Prednisone,10017955,Gastrointestinal haemorrhage,3,138,3,1407,10.0,0.811705,0.0212766
10355,Temazepam,136411,sildenafil,10017955,Gastrointestinal haemorrhage,4,152,3,1557,13.3333,0.759132,0.025641
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10017955,Gastrointestinal haemorrhage,3,106,3,1087,10.0,0.810293,0.0275229
10355,Temazepam,136411,sildenafil,10003664,Atrial septal defect,1,155,2,1558,5.0,1.22186,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10049460,Abasia,2,107,5,1085,4.0,0.830607,0.0183486
10355,Temazepam,136411,sildenafil,10012374,Depressed mood,1,155,2,1558,5.0,1.22186,0.00641026
10355,Temazepam,136411,sildenafil,10013709,Drug ineffective,13,143,83,1477,1.56627,0.286217,0.0833333
7781,Oxazepam,9863,Sodium Chloride,10013709,Drug ineffective,1,34,13,337,0.769231,1.02249,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10013709,Drug ineffective,7,102,50,1040,1.4,0.390852,0.0642202
10355,Temazepam,136411,sildenafil,10051055,Deep vein thrombosis,6,150,14,1546,4.28571,0.48067,0.0384615
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10051055,Deep vein thrombosis,1,108,7,1083,1.42857,1.06431,0.00917431
1808,Bumetanide,7824,Oxytocin,10012174,Dehydration,1,13,1,139,10.0,1.38616,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10012174,Dehydration,5,104,6,1084,8.33333,0.597139,0.0458716
10355,Temazepam,136411,sildenafil,10020100,Hip fracture,1,155,2,1558,5.0,1.22186,0.00641026
10324,Tamoxifen,8640,Prednisone,10022086,Injection site pain,4,137,30,1380,1.33333,0.524911,0.0283688
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10022086,Injection site pain,2,107,17,1073,1.17647,0.740764,0.0183486
10355,Temazepam,136411,sildenafil,10022437,Insomnia,11,145,24,1536,4.58333,0.354294,0.0705128
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10022437,Insomnia,1,108,11,1079,0.909091,1.03962,0.00917431
10324,Tamoxifen,8640,Prednisone,10022687,Intestinal obstruction,5,136,3,1407,16.6667,0.724936,0.035461
10355,Temazepam,136411,sildenafil,10022687,Intestinal obstruction,1,155,4,1556,2.5,1.11488,0.00641026
10355,Temazepam,136411,sildenafil,10028391,Musculoskeletal pain,1,155,7,1553,1.42857,1.06574,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10028391,Musculoskeletal pain,1,108,4,1086,2.5,1.11351,0.00917431
10355,Temazepam,136411,sildenafil,10028735,Nasal congestion,2,154,6,1554,3.33333,0.812167,0.0128205
10355,Temazepam,136411,sildenafil,10028836,Neck pain,1,155,6,1554,1.66667,1.07685,0.00641026
10355,Temazepam,136411,sildenafil,10039227,Rotator cuff syndrome,2,154,3,1557,6.66667,0.909001,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10039227,Rotator cuff syndrome,1,108,1,1089,10.0,1.41064,0.00917431
10355,Temazepam,136411,sildenafil,10041569,Spinal fracture,1,155,2,1558,5.0,1.22186,0.00641026
10355,Temazepam,136411,sildenafil,10037867,Rash macular,1,155,3,1557,3.33333,1.15164,0.00641026
10355,Temazepam,136411,sildenafil,10015150,Erythema,2,154,13,1547,1.53846,0.754899,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10015150,Erythema,1,108,14,1076,0.714286,1.03021,0.00917431
10355,Temazepam,136411,sildenafil,10022998,Irritability,5,151,3,1557,16.6667,0.725453,0.0320513
10324,Tamoxifen,8640,Prednisone,10024384,Leukopenia,8,133,3,1407,26.6667,0.671217,0.0567376
7781,Oxazepam,9863,Sodium Chloride,10024384,Leukopenia,1,34,1,349,10.0,1.40306,0.0285714
10324,Tamoxifen,8640,Prednisone,10022093,Injection site pruritus,1,140,10,1400,1.0,1.04508,0.0070922
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10022093,Injection site pruritus,1,108,4,1086,2.5,1.11351,0.00917431
10324,Tamoxifen,8640,Prednisone,10002034,Anaemia,18,123,11,1399,16.3636,0.372375,0.12766
10355,Temazepam,136411,sildenafil,10002034,Anaemia,9,147,16,1544,5.625,0.408117,0.0576923
1808,Bumetanide,7824,Oxytocin,10002034,Anaemia,1,13,3,137,3.33333,1.12016,0.0714286
161,Acetaminophen,1546438,glycopyrronium,10002034,Anaemia,1,22,2,228,5.0,1.20506,0.0434783
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10002034,Anaemia,6,103,10,1080,6.0,0.506532,0.0550459
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10022094,Injection site rash,1,108,3,1087,3.33333,1.15032,0.00917431
10355,Temazepam,136411,sildenafil,10042458,Suicidal ideation,3,153,6,1554,5.0,0.702103,0.0192308
10324,Tamoxifen,8640,Prednisone,10043554,Thrombocytopenia,10,131,12,1398,8.33333,0.418965,0.070922
10355,Temazepam,136411,sildenafil,10043554,Thrombocytopenia,3,153,9,1551,3.33333,0.661357,0.0192308
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10043554,Thrombocytopenia,1,108,5,1085,2.0,1.09083,0.00917431
10355,Temazepam,136411,sildenafil,10008611,Cholecystectomy,2,154,2,1558,10.0,0.996468,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10021597,Inappropriate schedule of drug administration,2,107,2,1088,10.0,0.994941,0.0183486
10355,Temazepam,136411,sildenafil,10061822,Drug intolerance,2,154,4,1556,5.0,0.861945,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10061822,Drug intolerance,1,108,4,1086,2.5,1.11351,0.00917431
10324,Tamoxifen,8640,Prednisone,10017853,Gastritis,3,138,2,1408,15.0,0.908588,0.0212766
10355,Temazepam,136411,sildenafil,10017853,Gastritis,2,154,9,1551,2.22222,0.777213,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10017853,Gastritis,1,108,1,1089,10.0,1.41064,0.00917431
1808,Bumetanide,7824,Oxytocin,10019974,Herpes zoster,1,13,1,139,10.0,1.38616,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10019974,Herpes zoster,1,108,8,1082,1.25,1.05589,0.00917431
10355,Temazepam,136411,sildenafil,10020772,Hypertension,9,147,25,1535,3.6,0.379552,0.0576923
10355,Temazepam,136411,sildenafil,10031161,Osteoarthritis,3,153,6,1554,5.0,0.702103,0.0192308
10355,Temazepam,136411,sildenafil,10049088,Osteopenia,1,155,1,1559,10.0,1.41172,0.00641026
10355,Temazepam,136411,sildenafil,10039117,Rib fracture,3,153,2,1558,15.0,0.909001,0.0192308
10355,Temazepam,136411,sildenafil,10041591,Spinal osteoarthritis,3,153,2,1558,15.0,0.909001,0.0192308
